dataset,index,split,text
Ohsumed,978,test,"Photodynamic therapy of spontaneous cancers in felines, canines, and snakes with chloro-aluminum sulfonated phthalocyanine.  This is the first report on the photodynamic treatment with a second-generation sensitizer, chloro-aluminum sulfonated phthalocyanine (CASPc) of spontaneously arising tumors and on the photodynamic therapy (PDT) of snake neoplasms.  Each of 10 cats, 2 dogs, and 3 snakes presenting with a variety of tumor types (squamous cell carcinoma, mast cell malignant tumor, and mixed carcinoma/sarcoma) was given an intravenous injection of 1 mg of CASPc per kilogram body weight 48 hours prior to irradiation with 675-nm light.  Some larger tumors (greater than 1.5 cm deep) were surgically debulked prior to PDT.  No significant systemic toxicity or skin photosensitization was observed in any animal.  The tumor responses were comparable to those seen with conventional cryotherapy, hyperthermia, or surgery.  PDT with CASPc of these cases led to 67% (12 of 18) complete response, 22% (4 of 18) partial response, and 11% (2 of 18) no response (less than 50% reduction in tumor size).  Four cases could not be evaluated.  Since the overall tumor response to CASPc is very good, and the problem of skin photosensitivity is nonexistent, it is expected that using CASPc-PDT to eradicate human tumors would also yield comparable results.  Further studies with long-term follow-up are necessary to optimize the use of CASPc-PDT in veterinary and human medicine."
R8,474,validation,schlumberger says it terminates pact to sell fairchild semiconductor business to fujitsu
Ohsumed,1957,test,"Total sacrectomy and reconstruction for huge sacral tumors.  The authors carried out successful total sacrectomy in three cases, two with giant cell tumors and one with a chordoma.  The anterior and posterior approach is feasible for resecting huge sacral tumors en bloc, but it is important to reconstruct the continuity between the pelvic ring and spinal column using spinal instrumentation and sacral rods or AO plates.  As total sacrectomy is a large-scale, time-consuming, and collaborative operation, two or three teams should be used in relays.  Both pelvic and spinal surgical techniques are required.  Post-operatively the patient can stand within 3 to 6 months and well-planned rehabilitation allows ambulation.  In spite of the serious structural and neurologic damage caused, total sacrectomy can be rewarding procedure in terms of improved morbidity and mortality."
SST-2,107,validation,"Not only are the special effects and narrative flow much improved , and Daniel Radcliffe more emotionally assertive this time around as Harry , but the film conjures the magic of author J.K. Rowling 's books ."
Ohsumed,626,validation,"Results of a 25-year screening programme for neonatal hip instability.  From 1962 to 1986, 117,256 neonates were screened for congenital dislocation of the hip (CDH).  When the primary physical examination was performed by the junior paediatric staff there was a persistent late diagnosis rate of 0.5 per 1000 live births.  When the primary examination was undertaken by experienced orthopaedic personnel (1982 to 1984) the late diagnosis rate fell and fewer infants were splinted."
Ohsumed,1073,test,"Pancreatic tumor pathogenesis reflects the causative genetic lesion.  Transgenic mice in which c-myc expression is targeted to pancreatic acinar cells develop mixed acinar/ductal pancreatic adenocarcinomas between 2 and 7 months of age.  This contrasts with the effect on pancreas of the simian virus 40 tumor antigen or activated ras, which in adult mice causes lesions composed exclusively of acinar-like cells.  Furthermore, during an early stage of myc-induced pathology, transformed acinar-derived cells appear within islets, suggesting that islet hormones may influence the progression of these exocrine pancreatic tumors.  These findings demonstrate that the initial oncogenic alteration can influence the pattern of subsequent tumor pathogenesis and, given that human exocrine pancreatic tumors are predominantly ductal adenocarcinomas, support the suggestion that transformed acinar cells may contribute to the genesis of this serious disease in man."
SST-2,70,validation,"There is n't nearly enough fun here , despite the presence of some appealing ingredients ."
SST-2,1099,test,A film that is a portrait of grace in an imperfect world .
Ohsumed,1620,test,"A double-blind gastroscopic evaluation of the effects of etodolac and naproxen on the gastrointestinal mucosa of rheumatic patients.  The aim of this clinical, endoscopical study was to evaluate the therapeutic efficacy and the gastric tolerability of etodolac, a new anti-inflammatory, non-steroidal drug, compared with naproxen.  The study was conducted on 48 patients suffering from rheumatoid arthritis.  44 of whom completed the trial.  After an initial oesophagogastroduodenoscopy to exclude the presence of gastric mucosal lesions, patients were randomly allocated to double-blind treatment with either etodolac 200 mg b.i.d.  or naproxen 500 mg b.i.d.  for a period of 4 weeks.  Endoscopic control followed this treatment period.  Both drugs proved effective in relieving clinical symptoms, without a statistically significant difference.  Gastric mucosal lesions were observed in 15% of etodolac-treated patients and in 46% of patients treated with naproxen (P less than 0.05) (95% CI 0.01-0.60).  Painful dyspepsia was observed in 15% of patients treated with etodolac vs.  38% of patients on naproxen therapy.  This study demonstrates that etodolac is at least as active as naproxen in relieving rheumatic symptoms, and its administration results in a significantly lower degree of gastric damage."
Ohsumed,494,validation,"Mechanism of stroke in patients taking aspirin.  During a 1-year period, we prospectively studied the mechanism and severity of stroke in 47 patients sustaining a cerebral infarction while taking aspirin.  The mechanism of stroke was undetermined in 12 patients (26%).  In the remaining 35 patients, we identified 39 potential mechanisms: large-artery atherosclerosis (19 patients, 40%), cardioembolism (15 patients, 32%), and small-vessel occlusive disease (5 patients, 11%).  Of 11 patients with carotid atherosclerosis and stroke, 9 (82%) had greater than 90% carotid stenosis or occlusion; of 12 patients with stroke of undetermined mechanism, 10 (83%) had previous stroke, of which 8 were also of undetermined mechanisms.  Disability after stroke was moderate or severe in 27 patients (57%).  These data suggest that (1) stroke in patients taking aspirin has a variety of etiologies and frequently causes moderate or severe disability; (2) patients with carotid disease failing aspirin often have high-grade carotid stenosis or occlusion; (3) stroke of undetermined mechanism may recur more frequently than other stroke subtypes in patients taking aspirin."
